Player,Team,Pos,FPPG,FPPM,G,MPG,PPG,RPG,APG,BPG,SPG,OWN,ADP,CON,Poss/G,FPPP,Age
G. Antetokounmpo, MIL, F ,37.1,1.22,63,30.4,29.5,13.6,5.6,1,1,98.7,2,$27.5M,66.7,0.56,25
J. Harden, HOU, GF ,36.1,0.99,68,36.5,34.3,6.6,7.5,0.9,1.8,99.3,5.2,$41.3M,78.8,0.46,30.3
L. Doncic, DAL, G ,33.8,1.01,61,33.6,28.8,9.4,8.8,0.2,1,99.3,2.5,$8.0M,69.6,0.49,20.8
K. Towns, MIN, C ,33.3,0.98,35,33.9,26.5,10.8,4.4,1.2,0.9,98,8.8,$29.5M,72.5,0.46,24.1
A. Davis, LAL, FC ,32.3,0.94,62,34.4,26.1,9.3,3.2,2.3,1.5,98.7,4.7,$32.7M,72.1,0.45,26.8
L. James, LAL, G ,32.2,0.93,67,34.6,25.3,7.8,10.2,0.5,1.2,98.7,5.6,$39.2M,72.7,0.44,35
D. Lillard, POR, G ,31.8,0.85,66,37.5,30,4.3,8,0.3,1.1,99.3,9.4,$31.6M,78.8,0.4,29.4
K. Leonard, LAC, GF ,30.1,0.93,57,32.4,27.1,7.1,4.9,0.6,1.8,98.7,11.3,$34.4M,68.2,0.44,28.5
K. Irving, BKL, G ,29.8,0.9,20,32.9,27.4,5.2,6.4,0.5,1.4,96,21.3,$33.5M,71.2,0.42,27.7
N. Jokic, DEN, C ,29.8,0.93,73,32,19.9,9.7,7,0.6,1.2,98,9.8,$29.5M,64.8,0.46,24.8
T. Young, ATL, G ,29.7,0.84,60,35.3,29.6,4.3,9.3,0.1,1.1,99.3,11,$6.6M,76.2,0.39,21.3
R. Westbrook, HOU, G ,29.2,0.81,57,36,27.2,7.9,7,0.4,1.6,98,13.8,$41.4M,77.9,0.38,31.1
J. Embiid, PHI, C ,29.2,0.99,51,29.5,23,11.6,3,1.3,0.9,98.7,12.3,$29.5M,61.2,0.48,25.8
A. Drummond, DET, C ,29.1,0.88,57,33,17.7,15.2,2.7,1.6,1.9,97.3,22.8,$28.8M,67.5,0.43,26.4
J. Collins, ATL, FC ,28.9,0.87,41,33.2,21.6,10.1,1.5,1.6,0.8,96.7,26.9,$4.1M,71.2,0.41,22.2
D. Sabonis, IND, FC ,28.8,0.83,62,34.8,18.5,12.4,5,0.5,0.8,98.7,19.8,$19.8M,71.5,0.4,23.6
B. Beal, WAS, G ,28.6,0.79,57,36,30.5,4.2,6.1,0.4,1.2,98,23.3,$28.8M,77.3,0.37,26.5
H. Whiteside, POR, C ,28.2,0.94,67,30,15.5,13.5,1.2,2.9,0.4,97.3,34.2,$0.0M,62.9,0.45,30.5
J. Nurkic, POR, C ,27.6,0.87,8,31.6,17.6,10.3,4,2,1.4,97.3,31.9,$14.1M,66.9,0.41,25.3
N. Vucevic, ORL, C ,27.5,0.85,62,32.2,19.6,10.9,3.6,0.8,0.9,95.3,25.4,$26.0M,66.2,0.41,29.2
R. Gobert, UTA, C ,27.3,0.8,68,34.3,15.1,13.5,1.5,2,0.8,98,34,$26.5M,70.5,0.39,27.5
D. Booker, PHO, G ,26.9,0.75,70,35.9,26.6,4.2,6.5,0.3,0.7,98,19.6,$29.5M,75.6,0.36,23.1
C. Capela, HOU, C ,26.7,0.81,39,32.8,13.9,13.8,1.2,1.8,0.8,96.7,44.3,$16.0M,70.9,0.38,25.6
D. Ayton, PHO, C ,26.4,0.81,38,32.5,18.2,11.5,1.9,1.5,0.7,97.3,29.6,$10.0M,68.2,0.39,21.4
J. Butler, MIA, F ,26.1,0.77,58,33.8,19.9,6.7,6,0.6,1.8,96,21.9,$34.4M,68.7,0.38,30.3
B. Simmons, PHI, G ,26,0.73,57,35.4,16.4,7.8,8,0.6,2.1,96.7,24.8,$30.6M,73.2,0.36,23.4
B. Adebayo, MIA, FC ,25.8,0.77,72,33.6,15.9,10.2,5.1,1.3,1.1,98.7,22.2,$5.1M,68.6,0.38,22.4
D. DeRozan, SAS, F ,25.5,0.75,68,34.1,22.1,5.5,5.6,0.3,1,95.3,37.8,$27.7M,71.5,0.36,30.4
K. Porzingis, DAL, FC ,25.1,0.79,57,31.8,20.4,9.5,1.8,2,0.7,96.7,33.1,$29.5M,66.6,0.38,24.4
J. Tatum, BOS, F ,24.9,0.73,66,34.3,23.4,7,3,0.9,1.4,98.7,19.3,$9.9M,71.1,0.35,21.8
B. Ingram, NOR, F ,24.7,0.73,62,33.9,23.8,6.1,4.2,0.6,1,97.3,36.9,$0.0M,73.5,0.34,22.3
P. Siakam, TOR, F ,24.6,0.7,60,35.2,22.9,7.3,3.5,0.9,1,96.7,33,$30.6M,74.3,0.33,25.7
J. Valanciunas, MEM, C ,24.2,0.92,70,26.4,14.9,11.3,1.9,1.1,0.4,97.3,42.2,$15.0M,56.5,0.43,27.6
K. Middleton, MIL, F ,24.1,0.81,62,29.9,20.9,6.2,4.3,0.1,0.9,95.3,37.9,$33.1M,65.7,0.37,28.4
K. Lowry, TOR, G ,24,0.66,58,36.2,19.4,5,7.5,0.4,1.4,93.3,53.7,$30.5M,75.9,0.32,33.7
S. Curry, GSW, G ,23.9,0.86,5,27.9,20.8,5.2,6.6,0.4,1,98.7,11.8,$43.0M,62.2,0.38,31.8
Z. LaVine, CHI, GF ,23.8,0.68,60,34.8,25.5,4.8,4.2,0.5,1.5,98,37.8,$19.5M,71.9,0.33,24.8
C. Paul, OKL, G ,23.6,0.75,70,31.5,17.6,5,6.7,0.2,1.6,91.3,40.9,$41.4M,64.7,0.36,34.6
L. Aldridge, SAS, C ,23.5,0.71,53,33.1,18.9,7.4,2.4,1.6,0.7,94.7,55.2,$24.0M,69.2,0.34,34.4
